ID,CAG,WA,SS,OVP,DISC,DISC EXTRA
A01720757,1,0,1,1,0,1
A01025291,1,0,1,1,0,1
A00227082,1,0,1,0,0,1
A01383034,1,0,1,0,0,1
A01284358,1,0,1,1,0,1
A00227216,1,0,1,1,0,1
A01197698,1,0,1,1,0,1
A01177509,0,0,1,1,0,1
A01721377,1,0,1,1,0,1
A01284501,1,0,1,0,0,1
A01721315,0,0,1,0,0,1
A01177648,1,0,1,0,0,1
A01284669,1,0,1,1,0,1
A01285136,1,1,1,0,1,1
A00227301,1,0,1,1,0,1
A01284634,0,0,1,0,0,1
A01721750,0,0,1,1,0,1
A01383399,1,1,1,1,0,1
A01721637,1,1,0,1,1,1
A01722059,1,0,1,0,0,1
A01177880,1,1,0,1,1,1
A01285065,0,0,1,0,0,1
A01177806,1,1,1,0,1,1
A01571130,1,0,1,1,0,1
A00825987,1,0,1,1,0,1
A01722124,1,1,0,1,1,1
A01067555,0,0,1,1,0,1
A00835052,1,0,1,1,0,1
A01638324,1,1,1,0,1,1
A01722242,1,1,1,0,1,1
A01722670,1,1,1,0,1,1
A00828370,1,0,1,1,0,1
A01285542,1,1,1,0,1,1
A01285666,1,1,1,0,1,1
A00830053,1,1,1,1,0,1
A00830885,1,1,1,1,1,1
A00830913,1,1,0,1,1,1
A01639263,0,0,1,1,0,1
A00830542,1,0,1,1,0,1
A00830387,0,0,1,0,0,1
A00830958,1,0,1,0,0,1
A00832270,1,0,1,1,0,1
A01384416,0,1,1,1,0,1
A00832953,1,0,1,1,0,1
A00833478,1,0,1,1,0,1
A00834960,1,1,0,1,1,1
A00834412,1,0,1,0,0,1
A01236482,1,0,1,0,0,1
A01742360,1,0,1,1,0,1
A01236471,1,0,1,0,0,1
A00835370,1,0,1,0,0,1
A00835338,1,0,1,0,0,1
A01736717,1,1,1,1,0,0
A00835265,1,1,1,0,1,1
A00835851,1,1,1,0,1,1
A00837676,1,1,1,0,1,1
A00837929,1,1,1,0,1,1
A01198433,1,1,1,0,1,1
A01284950,1,0,1,0,0,1
A01172765,1,0,1,1,0,1
A00832582,1,0,1,1,0,1
A01197357,1,0,1,1,0,1
A00227014,0,0,1,0,0,1
A01245619,0,0,1,1,0,1
A01411575,1,0,1,1,0,1
A00832344,1,1,1,0,1,1
A01284478,1,0,1,0,0,1
A01284334,1,0,1,1,0,1
A00832208,1,1,1,1,0,1
A01662663,1,1,0,1,1,1
A00823311,1,0,1,1,0,1
A01721530,0,1,1,1,0,1
A01740616,0,0,1,1,0,1
A01275957,1,1,0,1,1,1
A01026161,1,0,1,1,0,1
A01732983,1,1,1,1,0,1
A01721630,1,0,1,0,0,1
A01177952,1,0,1,1,0,1
A01368716,1,1,0,1,1,1
A01722061,0,0,1,1,0,1
A01177861,1,0,1,1,0,1
A01198166,1,0,1,0,0,1
A00826474,1,0,1,0,0,1
A01639616,1,0,1,0,0,1
A01383696,1,1,1,0,1,1
A01571258,1,1,1,0,1,1
A01285194,1,1,1,0,1,1
A01252922,1,1,1,0,1,1
A01722523,1,1,1,0,1,1
A01571467,0,1,1,0,1,1
A00829580,1,0,1,1,0,1
A00837927,1,1,1,0,1,1
A01751091,1,0,1,1,0,1
A00227564,1,0,1,1,0,1
A00831024,0,0,1,1,0,1
A00830396,1,0,1,1,0,1
A00830675,1,0,1,0,0,1
A01541560,0,0,1,1,0,1
A00831763,1,0,1,0,0,1
A00831962,1,0,1,1,0,1
A01708180,0,0,1,1,0,1
A00832599,1,0,1,1,0,1
A00832372,1,0,1,0,0,1
A00832438,0,0,1,0,0,1
A00832602,1,1,1,1,0,1
A00833103,1,0,1,1,0,1
A00833420,1,0,1,1,0,1
A01254288,1,0,1,0,0,1
A00835199,1,1,0,1,1,1
A00834780,1,0,1,1,0,1
A00835853,1,1,1,0,1,1
A01283222,1,1,1,0,1,1
A01571027,1,0,1,0,0,1
A01280844,1,1,0,1,1,1
A01284597,0,0,1,1,1,1
A01173184,1,0,1,1,0,1
A01411232,1,0,1,1,0,1
A01720648,1,0,1,1,1,1
A01234329,0,0,1,0,0,1
A01067439,1,1,1,0,1,1
A01025062,1,1,1,1,1,1
A01740682,1,0,1,0,1,0
A01570765,0,0,1,1,0,1
A01746637,1,1,1,1,0,1
A01721380,1,0,1,1,0,1
A01367730,1,0,1,1,0,1
A01275262,0,0,1,1,1,1
A01284396,1,0,1,0,0,1
A01252414,1,1,1,0,1,1
A01570988,1,0,1,1,0,1
A01285085,1,0,1,1,0,1
A01284927,1,1,1,0,1,1
A01721710,1,0,1,1,0,1
A01177904,1,0,1,0,0,1
A01275567,1,0,1,1,0,1
A01284972,1,0,1,0,0,1
A01566968,1,0,1,1,0,1
A01721697,1,0,1,0,0,1
A01284712,1,1,1,1,0,1
A01284858,0,0,1,0,0,1
A00825007,1,0,1,1,0,1
A01721946,1,0,1,1,0,1
A01284966,1,0,1,0,0,1
A01571219,1,0,1,1,0,1
