MATRICULA,REQUISITO,WA,SS,OVP,DISC,DISC EXTRA
A01704524,1,1,1,1,0,1
A01275677,1,1,1,1,0,1
A01733550,1,1,1,1,0,1
A01368535,1,1,1,1,0,1
A01704128,1,1,1,1,0,1
A01234320,1,1,1,1,0,0
A01369012,1,1,1,0,0,1
A01368823,1,1,1,1,0,1
A01730640,1,1,1,1,0,1
A01568579,1,1,1,1,0,1
A01368587,1,1,1,1,0,1
A01254152,1,1,1,1,0,1
A01246571,1,1,1,1,0,1
A01704807,1,1,1,1,0,1
A01613386,1,1,1,1,0,1
A01612907,1,1,1,1,0,1
A01708416,1,1,1,1,0,1
A01709461,1,1,1,1,0,1
A01709119,1,1,1,1,0,1
A01706392,1,1,1,1,0,1
A01707423,1,1,1,1,0,1
A01735882,1,1,1,1,0,1
A01709122,1,1,1,1,0,1
A01771255,1,1,1,1,0,1
A01736279,1,1,1,1,0,1
A01562477,1,0,1,0,0,1
A01735778,1,1,1,1,0,1
A01702603,1,1,1,1,0,1
A01740952,1,1,1,1,0,1
A01732660,1,1,1,1,0,1
A01732670,1,0,1,1,0,1
A01741324,1,1,1,1,0,1
A01734647,1,1,1,1,0,1
A01236332,1,1,1,1,0,1
A01771013,1,1,1,1,0,1
A01252441,1,1,1,1,0,1
A01704105,1,1,1,1,0,1
A01703133,1,1,1,1,0,1
A01367571,1,1,1,1,0,1
A01733587,1,1,1,1,0,1
A01613432,1,1,1,1,0,1
A01731446,1,1,1,1,0,1
A01742323,1,1,1,1,0,0
A01771125,1,1,1,1,0,1
A01246479,1,1,1,1,0,1
A01736091,1,1,1,1,0,1
A01709262,1,1,1,1,0,1
A01236239,1,1,1,1,0,1
A01732869,1,1,1,1,0,1
A01251401,1,1,1,1,0,1
A01704187,1,1,1,1,0,1
A01706717,1,1,1,1,0,1
A01562616,1,1,1,1,0,1
A01704115,1,1,1,1,0,1
A01625243,1,1,1,1,0,1
A01736676,1,1,1,1,0,1
A00834721,1,1,1,1,0,1
A01368201,0,1,1,1,0,0
A01552221,1,1,1,1,0,1
A01252299,1,1,1,1,0,1
A01611249,1,1,1,1,0,1
A01704160,1,1,1,1,0,1
A01568683,1,1,1,1,0,1
A01733574,1,1,1,1,0,1
A01612086,1,1,1,1,0,1
A01067761,1,1,1,1,0,1
A01253233,1,1,1,1,0,1
A01770893,1,1,1,1,0,1
A01709037,1,1,1,1,0,1
A01625536,1,1,1,1,0,1
A01708960,1,1,1,1,0,1
A01368776,1,1,1,1,0,0
A01252706,1,1,1,1,0,1
A01708796,1,1,1,1,0,1
A00573757,0,1,1,1,0,1
A01740416,1,1,1,1,0,1
A01568591,1,1,1,1,0,1
A01253605,1,1,1,1,0,1
A01708218,1,1,1,0,0,1
A01707452,1,1,1,1,0,1
A01707965,1,1,1,1,0,1
A01384608,1,1,1,1,0,1
A01562764,1,1,1,1,0,1
A01254155,1,1,1,1,0,1
A01068131,1,1,1,1,0,1
A01742155,1,1,1,1,0,1
