ID,CAG AD25 (POR CREDITOS),SERVICIO SOCIAL,DISCIPLINAR ACREDITADA,DISCIPLINARES Extra,ORIENTACION,WA,Requisito
A01114781,1,1,0,1,1,0,1
A01372001,1,1,0,1,1,0,1
A01379610,0,1,0,1,1,0,1
A01067149,0,1,0,0,1,1,1
A01367683,1,1,0,1,1,0,1
A01745891,0,1,0,1,0,0,1
A01655168,0,1,0,1,1,1,1
A01368182,1,1,0,1,0,0,1
A01655325,0,1,0,1,0,0,1
A01275468,1,1,0,1,1,1,1
A01368619,1,1,0,1,1,1,1
A01656379,1,1,0,1,1,0,1
A01704802,1,1,0,1,1,0,1
A01748778,1,1,0,1,1,0,1
A01657167,1,1,0,1,0,0,1
A01637204,1,1,0,1,0,0,1
A01568979,1,1,0,1,0,0,1
A01657711,1,1,0,1,0,0,1
A01657729,1,1,0,1,0,0,1
A01657715,1,1,0,1,0,0,1
A01657702,1,1,0,1,0,0,1
A01657784,1,1,0,1,0,0,1
A01658632,1,1,0,1,0,0,1
A01640657,0,1,0,1,0,0,1
A01641356,1,1,0,1,1,1,1
A01782420,0,1,0,1,1,0,1
A01662292,1,1,0,1,0,0,1
A01664239,1,1,0,1,0,0,1
A01643720,1,1,0,1,0,0,1
A01664568,1,1,0,1,0,0,1
A01023170,0,1,0,1,0,1,1
A01379385,1,1,0,1,0,0,1
A01378394,1,1,0,1,1,1,1
A01378876,1,1,0,1,1,0,1
A01653124,1,1,0,1,0,0,1
A01653341,1,1,0,1,1,0,1
A01654001,1,1,0,1,0,0,1
A01655360,1,1,0,1,1,1,1
A01654900,1,1,0,1,1,1,1
A07154285,0,1,0,1,0,0,1
A01612063,0,1,0,1,0,0,1
A01368481,1,1,0,0,1,1,1
A01026332,0,1,1,1,0,0,1
A01635785,1,1,0,1,1,1,1
A01748097,1,1,0,1,1,0,1
A01027140,1,1,0,1,1,1,1
A01636703,0,1,0,1,0,0,1
A01749021,1,1,0,1,1,1,1
A01637175,1,1,0,1,0,0,1
A01637265,1,1,0,1,0,0,1
A01568926,1,1,1,1,0,0,1
A01424088,1,1,0,1,0,0,1
A01657829,1,1,0,1,0,0,1
A01781695,0,1,0,1,1,0,1
A01552648,1,1,0,1,1,0,1
A01640586,1,1,0,1,1,0,1
A01660869,1,1,0,1,0,1,1
A01661644,1,1,0,1,0,0,1
A01641950,1,1,0,1,0,0,1
A01641761,1,1,0,1,0,0,1
A01754889,1,1,0,1,1,1,1
A01642385,1,1,0,1,0,0,1
A01643347,1,1,0,1,0,0,1
A01643197,1,1,0,1,0,0,1
A01351306,1,1,0,1,0,0,1
A01632560,0,1,0,1,1,0,1
A01652343,1,1,0,1,1,1,1
A01745091,0,1,0,1,0,0,1
A01568504,1,1,0,0,1,1,1
A00227172,0,1,0,1,0,0,1
A01746072,1,1,0,1,1,0,1
A01654743,1,1,0,1,1,1,1
A01026204,1,1,0,1,1,0,1
A01635511,1,1,0,1,0,0,1
A01747498,0,1,0,1,0,0,1
A01275613,1,1,0,1,0,1,1
A01656653,1,1,0,1,0,0,1
A01748079,1,1,0,1,0,0,1
A01656850,0,1,0,1,0,0,1
A01027432,1,1,0,1,1,0,1
A01750581,1,1,0,1,1,0,1
A01637690,1,1,0,1,0,0,1
A01276348,1,1,0,1,0,0,1
A01750990,1,1,0,1,0,0,1
A01658995,0,1,0,1,0,0,1
A01640839,1,1,0,1,1,0,1
A01660991,1,1,0,1,1,1,1
A01782950,1,1,0,1,0,0,1
A01753719,1,1,0,1,1,1,1
A01754458,0,1,0,1,0,0,1
A01662022,1,1,0,1,0,0,1
A01643842,1,1,0,1,0,0,1
A01423092,1,1,0,1,0,0,1
A01379409,1,1,0,1,1,0,1
A01745874,0,1,0,1,1,0,1
A01653934,1,1,0,1,0,1,1
A01634164,0,1,0,1,0,0,1
A01654462,1,1,0,1,0,0,1
A01654758,1,1,0,1,0,0,1
A01655797,0,1,0,1,0,0,1
A01655546,0,1,1,1,1,0,1
A01655470,0,1,0,1,1,0,1
A01026298,1,1,0,1,0,0,1
A01656974,1,1,0,1,0,0,1
A01368548,1,1,0,1,1,0,1
A01655897,1,1,0,1,1,0,1
A01635817,1,1,0,1,0,0,1
A01656395,1,1,0,1,0,0,1
A01636313,1,1,0,1,0,0,1
A01252794,1,1,0,1,0,1,1
A01748412,0,1,0,1,0,0,1
A01749027,1,1,0,1,0,0,1
A01657574,1,1,0,1,0,0,1
A01568914,1,1,0,1,0,0,1
A01568923,1,1,1,1,0,0,1
A01749524,1,1,0,1,0,0,1
A01749821,1,1,0,1,0,0,1
A01657732,1,1,0,1,0,0,1
A01659016,1,1,0,1,0,0,1
A01639556,0,1,0,1,0,0,1
A01659913,0,1,0,1,0,0,1
A01625437,0,1,0,1,0,0,1
A01661554,1,1,0,1,0,0,1
A01754604,1,1,0,0,1,1,1
A01661712,1,1,0,1,1,1,1
A01783197,1,1,0,1,0,1,1
A01662495,0,1,0,1,0,0,1
A01709615,1,1,0,1,0,0,1
A01662731,1,1,0,1,1,1,1
A01664513,1,1,0,1,0,0,1
A01664948,1,1,0,1,0,0,1
A01643926,1,1,0,1,0,0,1
A01026235,1,1,0,1,1,1,1
A01566665,1,1,0,1,1,1,1
A01740191,1,1,0,1,1,1,1
A00571494,0,1,0,1,0,0,1
A01611550,1,1,0,1,1,1,1
A01654949,1,1,0,1,1,0,1
A01746205,1,1,0,1,1,1,1
A01746337,1,1,0,1,0,0,1
A01566899,1,1,0,1,1,1,1
A01540826,0,1,0,1,1,0,1
A01746985,1,1,0,0,1,1,1
A01655923,0,1,0,1,0,0,1
A01704182,1,1,0,1,0,0,1
A01174131,1,1,0,1,0,0,1
A01656613,1,1,0,1,1,0,1
A01749690,1,1,0,1,0,0,1
A01659017,1,1,0,1,0,0,1
A01642935,1,1,0,1,0,0,1
A01781688,0,1,0,1,0,0,1
